Truth?,ID,Smile Intensity,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,20190119164530,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0
0,20190119164602,0.024,0.0,0.002,0.0,0.0,0.024,0.974,0.0,0.0
0,20190119164643,0.0,0.0,0.002,0.0,0.0,0.0,0.989,0.008,0.0
1,20190119164831,0.014,0.0,0.002,0.0,0.0,0.014,0.984,0.0,0.0
0,20190119164903,0.001,0.001,0.066,0.0,0.0,0.001,0.921,0.01,0.0
1,20190119164927,0.334,0.0,0.003,0.0,0.0,0.334,0.662,0.0,0.0
0,20190119164954,0.0,0.0,0.01,0.0,0.0,0.0,0.983,0.006,0.0
1,20190119165014,0.001,0.001,0.042,0.0,0.0,0.001,0.926,0.03,0.0
0,20190119165114,0.0,0.0,0.002,0.0,0.0,0.0,0.967,0.031,0.0
0,20190119165238,0.0,0.0,0.018,0.0,0.0,0.0,0.974,0.008,0.0
1,20190119165335,0.008,0.0,0.004,0.0,0.0,0.008,0.986,0.002,0.0
1,20190119165408,0.003,0.003,0.099,0.0,0.0,0.003,0.881,0.014,0.001
0,20190119165431,0.226,0.0,0.004,0.0,0.0,0.226,0.77,0.0,0.0
1,20190119165453,0.0,0.0,0.001,0.0,0.0,0.0,0.997,0.002,0.0
1,20190119181538,0.0,0.0,0.001,0.0,0.0,0.0,0.984,0.015,0.0
0,20190119181605,0.0,0.0,0.003,0.0,0.0,0.0,0.996,0.001,0.0
1,20190119181644,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0
1,20190119181720,0.0,0.0,0.002,0.0,0.0,0.0,0.988,0.01,0.0
1,20190119181828,0.0,0.0,0.001,0.0,0.0,0.0,0.964,0.035,0.0
1,20190119181849,0.0,0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0
0,20190119181954,0.001,0.0,0.001,0.0,0.0,0.001,0.998,0.0,0.0
0,20190119182048,0.001,0.0,0.055,0.0,0.0,0.001,0.934,0.01,0.0
1,20190119182134,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.002,0.0
1,20190119182516,0.0,0.0,0.008,0.0,0.0,0.0,0.983,0.008,0.0
0,20190119182537,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,0.0
1,20190119182636,0.0,0.0,0.001,0.0,0.0,0.0,0.996,0.003,0.0
1,20190119182814,0.0,0.0,0.001,0.0,0.0,0.0,0.961,0.039,0.0
1,20190119182835,0.0,0.0,0.01,0.0,0.0,0.0,0.865,0.125,0.0
1,20190119182851,0.0,0.0,0.004,0.0,0.0,0.0,0.984,0.012,0.0
0,20190119182922,0.001,0.0,0.012,0.0,0.0,0.001,0.977,0.009,0.0
1,20190119183031,0.0,0.0,0.003,0.0,0.0,0.0,0.986,0.01,0.0
0,20190119183059,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
0,20190119183115,0.002,0.0,0.015,0.0,0.0,0.002,0.978,0.004,0.0
0,20190119183127,0.0,0.0,0.004,0.0,0.0,0.0,0.993,0.003,0.0
0,20190119183231,0.346,0.0,0.001,0.0,0.0,0.346,0.653,0.0,0.0
0,20190119183311,0.67,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0
0,20190119183344,0.0,0.001,0.033,0.0,0.0,0.0,0.952,0.014,0.0
0,20190119183419,0.0,0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0
1,20190119183439,0.003,0.0,0.008,0.0,0.0,0.003,0.987,0.002,0.0
1,20190119183528,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0
0,20190119183620,0.012,0.0,0.002,0.0,0.0,0.012,0.982,0.004,0.0
1,20190119183629,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0
0,20190119183700,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
0,20190119183713,0.005,0.0,0.001,0.0,0.0,0.005,0.994,0.0,0.0
1,20190119183716,0.992,0.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0
1,20190119184226,0.0,0.0,0.004,0.0,0.0,0.0,0.901,0.095,0.0
0,20190119184257,0.0,0.0,0.001,0.0,0.0,0.0,0.99,0.01,0.0
1,20190119184640,0.874,0.0,0.018,0.001,0.0,0.874,0.106,0.0,0.0
0,20190119184731,0.433,0.0,0.0,0.0,0.0,0.433,0.566,0.0,0.0
1,20190119184749,0.001,0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0
1,20190119184759,0.006,0.0,0.006,0.0,0.0,0.006,0.987,0.001,0.0
1,20190119184819,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0
1,20190119184833,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0
1,20190119184855,0.001,0.0,0.0,0.0,0.0,0.001,0.998,0.001,0.0
0,20190119184920,0.0,0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0
1,20190119185145,0.0,0.0,0.001,0.0,0.0,0.0,0.993,0.006,0.0
1,20190119185202,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
