Truth?,ID,Smile Intensity,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
1,2.02E+13,0,0,0,0,0,0,0.993,0.002,0.004
1,2.02E+13,0.113,0,0.003,0,0,0.113,0.873,0.009,0.002
1,2.02E+13,0.968,0,0,0,0,0.968,0.016,0.014,0.001
1,2.02E+13,0.003,0,0,0,0.002,0.003,0.85,0.016,0.127
0,2.02E+13,0.015,0,0,0,0,0.015,0.968,0.006,0.009
1,2.02E+13,0.023,0.004,0.001,0.003,0.004,0.023,0.564,0.011,0.39
1,2.02E+13,0,0,0,0,0,0,0.992,0.008,0
1,2.02E+13,0.029,0,0.001,0,0,0.029,0.967,0.004,0
1,2.02E+13,0.001,0,0.002,0,0,0.001,0.973,0.024,0
1,2.02E+13,0,0,0,0,0,0,0.997,0.003,0
1,2.02E+13,0,0,0,0,0,0,0.996,0.004,0
1,2.02E+13,0,0,0,0,0,0,0.99,0.009,0
1,2.02E+13,0.051,0,0.001,0,0,0.051,0.943,0.005,0
1,2.02E+13,0,0,0,0,0,0,0.998,0.002,0
1,2.02E+13,0.317,0,0.001,0,0,0.317,0.664,0.018,0
1,2.01901E+13,0,0,0.005,0,0,0,0.974,0.02,0
1,2.01901E+13,0,0,0,0,0,0,0.94,0.06,0
1,2.01901E+13,0.001,0,0,0,0,0.001,0.984,0.015,0
1,2.01901E+13,0,0,0,0,0,0,0.993,0.007,0
1,2.01901E+13,0.001,0,0.001,0,0,0.001,0.99,0.008,0
1,2.01901E+13,0.001,0,0.023,0,0,0.001,0.958,0.017,0
1,2.01901E+13,0,0,0.003,0,0,0,0.993,0.004,0
1,2.01901E+13,0,0,0.002,0,0,0,0.993,0.005,0
1,2.01901E+13,0.001,0,0,0,0,0.001,0.986,0.013,0
1,2.01901E+13,0,0,0.001,0,0,0,0.922,0.076,0
0,2.01901E+13,0,0,0.001,0,0,0,0.986,0.014,0
0,2.01901E+13,0.048,0,0.001,0,0,0.048,0.944,0.007,0
1,2.01901E+13,0.015,0,0.003,0,0,0.015,0.97,0.012,0
0,2.01901E+13,0.085,0,0.01,0,0,0.085,0.903,0.002,0
1,2.01901E+13,0,0,0,0,0,0,0.971,0.029,0
1,2.01901E+13,0,0,0,0,0,0,0.996,0.003,0
1,2.01901E+13,0,0,0,0,0,0,0.997,0.003,0
1,2.01901E+13,0.012,0,0,0,0,0.012,0.983,0.005,0
1,2.01901E+13,0,0,0.018,0,0,0,0.979,0.003,0
1,2.01901E+13,0.007,0,0.002,0,0,0.007,0.989,0.002,0
0,2.01901E+13,0,0,0.001,0,0,0,0.998,0.001,0
1,2.01901E+13,0.39,0,0.009,0,0,0.39,0.6,0.001,0
1,2.01901E+13,0.602,0,0,0,0,0.602,0.397,0,0
0,2.01901E+13,0,0,0,0,0,0,0.996,0.004,0
1,2.01901E+13,0.829,0,0.001,0,0,0.829,0.169,0,0.001
1,2.01901E+13,0,0,0,0,0,0,0.998,0.002,0
